country,year,life_ladder,logGDP,social_support,life_exp,freedom,generosity,corruption,continent
Tanzania,2016,2.9027342796325684,7.867351055145264,0.6377559304237366,56.47374725341797,0.7754849195480347,0.17222706973552704,0.7392472624778748,Africa
Thailand,2016,6.073639869689941,9.659873008728027,0.9075436592102051,65.79955291748047,0.9241456985473633,0.3459128439426422,0.8779783844947815,Asia
Togo,2016,3.8785784244537354,7.254558563232422,0.5094409584999084,52.329898834228516,0.7302867770195007,-5.805605906061828e-4,0.8150441646575928,Africa
Tunisia,2016,4.521453380584717,9.28829574584961,0.7018221020698547,64.56181335449219,0.6144383549690247,-0.17891418933868408,0.8107456564903259,Africa
Turkey,2016,5.326221942901611,9.873839378356934,0.8799946308135986,65.59723663330078,0.644146740436554,NA,0.7637065649032593,Asia
Turkmenistan,2016,5.887051582336426,9.687180519104004,0.9290322661399841,58.56221008300781,0.7485044002532959,-0.022598082199692726,NA,Asia
Uganda,2016,4.2332611083984375,7.465327262878418,0.7535402178764343,51.46192932128906,0.7394097447395325,0.1451418399810791,0.8110697865486145,Africa
Ukraine,2016,4.028690338134766,8.929476737976074,0.8849613666534424,63.21360397338867,0.5025418996810913,0.031292568892240524,0.89107513427734375,Europe
United Arab Emirates,2016,6.8309502601623535,11.111088752746582,0.84937983751297,68.51036071777344,0.949119508266449,0.10539386421442032,NA,Asia
United Kingdom,2016,6.824283599853516,10.571332931518555,0.9540681838989258,71.13896179199219,0.8211921453475952,0.23986269533634186,0.4583132863044739,Europe
United States,2016,6.803599834442139,10.879706382751465,0.8967512845993042,70.12535095214844,0.7578930854797363,0.12805329263210297,0.7389195561408997,North America
Uruguay,2016,6.171485424041748,9.904924392700195,0.9003809094429016,68.25261688232422,0.886371910572052,-0.08554734289646149,0.6762127876281738,South America
Uzbekistan,2016,5.892539024353027,8.692045211791992,0.9451021552085876,60.62257385253906,0.9838030338287354,0.20499272644519806,NA,Asia
Venezuela,2016,4.041114807128906,9.534058570861816,0.9019492864608765,64.74925994873047,0.4576015770435333,-0.20614421367645264,0.8901246786117554,South America
Vietnam,2016,5.062267303466797,8.692119598388672,0.8763235807418823,65.942138671875,0.8943511247634888,-0.08842968195676804,0.7992401719093323,Asia
Yemen,2016,3.8256309032440186,NA,0.7754070162773132,54.24263000488281,0.5329640507698059,NA,NA,Asia
Zambia,2016,4.347543716430664,8.198633193969727,0.7670466303825378,52.88932418823242,0.8115745186805725,0.11480230838060379,0.7706435918807983,Africa
Zimbabwe,2016,3.7354001998901367,7.422307968139648,0.7684254050254822,51.727909088134766,0.7329714894294739,-0.053070418536663055,0.7236120104789734,Africa
